CMDLINE /media/monte_share/conda_envs/dataproc/bin/python3.14 main_EEI_preproc.py
MEM 32011.656250 1776195233.8991
MEM 32011.656250 1776195233.9993
MEM 32011.656250 1776195234.0995
MEM 32011.656250 1776195234.1997
MEM 32011.656250 1776195234.2999
MEM 32011.656250 1776195234.4002
MEM 32011.656250 1776195234.5006
MEM 32011.656250 1776195234.6009
MEM 32011.656250 1776195234.7012
MEM 32011.656250 1776195234.8014
MEM 32011.656250 1776195234.9017
MEM 32011.656250 1776195235.0020
MEM 28526.437500 1776195235.1023
MEM 17659.621094 1776195235.2030
MEM 17659.621094 1776195235.3037
MEM 17659.621094 1776195235.4044
MEM 17659.621094 1776195235.5051
MEM 17659.621094 1776195235.6058
MEM 17659.621094 1776195235.7066
MEM 17659.621094 1776195235.8072
MEM 17659.621094 1776195235.9077
MEM 17659.621094 1776195236.0081
MEM 17659.089844 1776195236.1087
MEM 17658.816406 1776195236.2095
MEM 17658.246094 1776195236.3108
MEM 17658.187500 1776195236.4111
MEM 17658.164062 1776195236.5114
MEM 17658.164062 1776195236.6119
MEM 17658.164062 1776195236.7165
MEM 17658.156250 1776195236.8170
MEM 17658.156250 1776195236.9174
MEM 17658.152344 1776195237.0178
MEM 17658.152344 1776195237.1182
MEM 17658.152344 1776195237.2198
MEM 17658.152344 1776195237.3233
MEM 17658.152344 1776195237.4250
MEM 17658.152344 1776195237.5254
MEM 17658.152344 1776195237.6257
MEM 17658.152344 1776195237.7261
MEM 17658.152344 1776195237.8264
MEM 17658.152344 1776195237.9273
MEM 17658.152344 1776195238.0313
MEM 17658.152344 1776195238.1317
MEM 17658.152344 1776195238.2320
MEM 17658.152344 1776195238.3324
MEM 17658.152344 1776195238.4327
MEM 17658.152344 1776195238.5343
MEM 17658.152344 1776195238.6351
MEM 17658.152344 1776195238.7364
MEM 17658.152344 1776195238.8368
MEM 17658.152344 1776195238.9371
MEM 17658.152344 1776195239.0374
MEM 17658.152344 1776195239.1380
MEM 17658.152344 1776195239.2387
MEM 17658.152344 1776195239.3394
MEM 17658.152344 1776195239.4398
MEM 17658.152344 1776195239.5401
MEM 17658.152344 1776195239.6406
