
===========================
ERBE SW Anisotropic Factors
===========================

Rows correspond to different viewing zenith angle ranges (0-15, 15-27, etc.).
Columns correspond to different relative azimuth angle ranges (0-9, 9-30, etc.).

Reference: Suttles, J. T., R. N. Green, P. Minnis, G. L. Smith, W. F. Staylor, B. A. Wielicki, I. J. Walker, 
           D. F. Young, V. R. Taylor, and L. L. Stowe, 1988: Angular radiation models for Earth-atmosphere 
           system. Volume 1: Shortwave radiation, NASA-RP-1184, 148pp, [online] Available: 
           https://hdl.handle.net/2060/19880018293.
	   
	   
=====================  
Scene 1 - Clear Ocean
=====================    
 solar zenith angle range =  0.00 - 25.84
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
   63 - 75          1.718       1.480       1.254       0.969       0.981       1.049       1.101       1.128
   75 - 90          2.218       1.774       1.377       1.132       1.098       1.133       1.163       1.178
 solar zenith angle range = 72.54 - 78.46
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.812       0.812       0.812       0.812       0.812       0.812       0.812       0.812
   15 - 27          0.859       0.880       0.860       0.827       0.817       0.834       0.832       0.834
   27 - 39          0.933       0.925       0.897       0.836       0.842       0.878       0.867       0.889
   39 - 51          1.136       1.074       0.970       0.886       0.884       0.902       0.944       0.944
   51 - 63          1.351       1.287       1.121       0.911       0.913       0.967       1.016       1.017
   63 - 75          2.048       1.698       1.341       0.931       0.963       1.102       1.157       1.185
   75 - 90          3.022       2.212       1.555       1.185       1.143       1.207       1.289       1.331
 solar zenith angle range = 78.46 - 84.26
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.735       0.735       0.735       0.735       0.735       0.735       0.735       0.735
   15 - 27          0.793       0.790       0.775       0.737       0.742       0.758       0.763       0.764
   27 - 39          0.927       0.877       0.827       0.789       0.752       0.795       0.811       0.846
   39 - 51          1.145       1.067       0.950       0.841       0.804       0.830       0.896       0.904
   51 - 63          1.514       1.355       1.127       0.884       0.876       0.922       1.013       1.009
   63 - 75          2.742       2.065       1.545       0.933       0.929       1.105       1.209       1.236
   75 - 90          4.434       3.018       1.992       1.349       1.233       1.310       1.440       1.501
 solar zenith angle range = 84.26 - 90.00
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.666       0.666       0.666       0.666       0.666       0.666       0.666       0.666
   15 - 27          0.735       0.745       0.727       0.666       0.677       0.684       0.703       0.715
   27 - 39          0.854       0.820       0.763       0.716       0.732       0.737       0.756       0.828
   39 - 51          1.123       1.054       0.905       0.788       0.774       0.778       0.828       0.858
   51 - 63          1.612       1.416       1.119       0.815       0.849       0.916       1.014       0.986
   63 - 75          3.096       2.383       1.642       0.955       0.945       1.157       1.275       1.281
   75 - 90          5.903       3.668       2.317       1.496       1.351       1.478       1.589       1.666

======================    
Scene 4 - Clear Desert
======================    
 solar zenith angle range =  0.00 - 25.84
